,original,summarized
105," Two moments of magic from Brian O'Driscoll guided Ireland to a workmanlike victory against Italy.  A pair of classic outside breaks from the Ireland captain set up tries for Geordan Murphy and Peter Stringer. Italy led 9-8 early in the second half but Stringer's try gave Ireland a lead they never lost. The hosts cut the gap to 18-12 with 10 minutes left and nearly scored through Ludovico Nitoglia, but Denis Hickie's try ensured an Irish victory. Italy came flying out of the blocks and took the lead through a Luciano Orquera penalty after seven minutes.  It could have been better for the hosts but the fly-half missed two kickable penalties and Ireland drew level with a Ronan O'Gara penalty midway through the first half. The Italians were driving at the heart of the Irish defence and, for the first quarter, the Irish pack struggled to secure any ball for their talented backs.  When they finally did, just before the half-hour mark, O'Driscoll promptly created a sparkling try for Murphy. The Ireland captain ran a dummy scissors and made a magical outside break before drawing the full-back and putting the diving Murphy in at the corner. O'Gara missed the twice-taken conversion and the visitors found themselves trailing once again. Roland de Marigny took over the kicking duties for Italy from the hapless Orquera, and he landed a penalty either side of the break to edge Italy into a 9-8 lead.  The only Ireland player offering a real threat was O'Driscoll, and it was his break that set up the second try for the visitors. Shane Horgan threw an overhead pass as he was about to be forced into touch and Stringer scooted over, with O'Gara landing the tricky conversion. A penalty apiece saw Ireland leading 18-12 as the game entered the final quarter, but they were lucky to survive when Italy launched a series of attacks. Winger Nitoglia dropped the ball as he reached for the line and Italy nearly rumbled over from a driving maul.  An O'Gara penalty put Ireland more than a converted try ahead and they made the game safe when Hickie latched onto an inside pass from Murphy and crossed for a converted try. O'Driscoll limped off late on, joining centre partner Gordon D'Arcy on the sidelines, and the final word went to Italy. Prop Martin Castrogiovanni powered over for a try which was fitting reward for an Italian pack which had kept the Irish under pressure throughout.  De Marigny; Mi Bergamasco, Canale, Masi, Nitoglia; Orquera, Troncon; Lo Cicero, Ongaro, Castrogiovanni; Dellape, Bortolami; Persico, Ma Bergamasco, Parisse.  Perugini, Intoppa, Del Fava, Dal Maso, Griffen, Pozzebon, Robertson.  Murphy, Horgan, O'Driscoll, D'Arcy, Hickie, O'Gara, Stringer, Corrigan, Byrne, Hayes, O'Kelly, O'Connell, S Easterby, Leamy, Foley.  Sheahan, Horan, O'Callaghan, Miller, G Easterby, Humphreys, Dempsey.  P O'Brien (New Zealand) ","A pair of classic outside breaks from the Ireland captain set up tries for Geordan Murphy and Peter Stringer. Italy led 9-8 early in the second half but Stringer's try gave Ireland a lead they never lost. The hosts cut the gap to 18-12 with 10 minutes left and nearly scored through Ludovico Nitoglia, but Denis Hickie's try ensured an Irish victory. Roland de Marigny took over the kicking duties for Italy from the hapless Orquera, and he landed a penalty either side of the break to edge Italy into a 9-8 lead. Shane Horgan threw an overhead pass as he was about to be forced into touch and Stringer scooted over, with O'Gara landing the tricky conversion. A penalty apiece saw Ireland leading 18-12 as the game entered the final quarter, but they were lucky to survive when Italy launched a series of attacks. Winger Nitoglia dropped the ball as he reached for the line and Italy nearly rumbled over from a driving maul. "
106," Third-generation mobile (3G) networks need to get faster if they are to deliver fast internet surfing on the move and exciting new services.  That was one of the messages from the mobile industry at the 3GSM World Congress in Cannes last week. Fast 3G networks are here but the focus has shifted to their evolution into a higher bandwidth service, says the Global Mobile Suppliers Association. At 3GSM, Siemens showed off a system that transmits faster mobile data. The German company said data could be transmitted at one gigabit a second - up to 20 times faster than current 3G networks. The system is not available commercially yet, but Motorola, the US mobile handset and infrastructure maker, held a clinic for mobile operators on HSDPA (High Speed Downlink Packet Access), a high-speed, high bandwidth technology available now. Early HSDPA systems typically offer around two megabits per second (Mbps) compared with less than 384 kilobits per second (Kbps) on standard 3G networks.  ""High-Speed Downlink Packet Access (HSDPA) - sometimes called Super 3G - will be vital for profitable services like mobile internet browsing and mobile video clips,"" according to a report published by UK-based research consultancy Analysys. A number of companies are developing the technology. Nokia and Canada-based wireless communication products company Sierra Wireless recently agreed to work together on High Speed Downlink Packet Access. The two companies aim to jointly market the HSDPA solution to global network operator customers.  ""While HSDPA theoretically enables data rates up to a maximum of 14Mbps, practical throughputs will be lower than this in wide-area networks,"" said Dr Alastair Brydon, author of the Analysys report: Pushing Beyond the Limits of 3G with HSDPA and Other Enhancements. ""The typical average user rate in a real implementation is likely to be in the region of one megabit per second which, even at this lower rate, will more than double the capacity... when compared to basic WCDMA [3G],"" he added. Motorola has conducted five trials of its technology and says speeds of 2.9Mbps have been recorded at the edge of an outdoor 3G cell using a single HSDPA device. But some mobile operators are opting for a technology called Evolution, Data Optimised (EV-DO).  US operator Sprint ordered a broadband data upgrade to its 3G network at the end of last year. We are ""expanding our network and deploying EV-DO technology to meet customer demand for faster wireless speeds,"" said Oliver Valente, Sprint's vice president for technology development, when the contract was announced. As part of $3bn in multi-year contracts announced late last year, Sprint will spend around $1bn on EV-DO technology from Lucent Technologies, Nortel Networks and Motorola that provides average data speeds of 0.3-0.5 megabits a second, and peak download rates of 2.4Mbps. MMO2, the UK-based operator with services in the UK, Ireland and Germany, has opted for technology based on HSDPA. Using technology from Lucent, it will offer data speeds of 3.6Mbps from next summer on its Isle of Man 3G network, and will eventually support speeds of up to 14.4Mbps. US operator Cingular Wireless is also adopting HSDPA, using technology from Lucent alongside equipment from Siemens and Ericsson.  Siemens' plans for a one gigabit network may be more than a user needs today, but Christoph Caselitz, president of the mobile networks division at the firm says that: ""By the time the next generation of mobile communication debuts in 2015, the need for transmission capacities for voice, data, image and multimedia is conservatively anticipated to rise by a factor of 10."" Siemens - in collaboration with the Fraunhofer German-Sino Lab for Mobile Communications and the Institute for Applied Radio System Technology - has souped up mobile communications by using three transmitting and four receiving antennae, instead of the usual one. This enables a data transmission, such as sending a big file or video, to be broken up into different flows of data that can be sent simultaneously over one radio frequency band. The speeds offered by 3G mobile seemed fast at the time mobile operators were paying huge sums for 3G licences. But today, instead of connecting to the internet by slow, dial-up phone connection, many people are used to broadband networks that offer speeds of 0.5 megabits a second - much faster than 3G. This means users are likely to find 3G disappointing unless the networks are souped up. If they aren't, those lucrative ""power users"", such as computer geeks and busy business people will avoid them for all but the most urgent tasks, reducing the potential revenues available to mobile operators. But one gigabit a second systems will not be available immediately. Siemens says that though the system works in the laboratory, it still has to assess the mobility of multiple-antennae devices and conduct field trials. A commercial system could be as far away as 2012, though Siemens did not rule out an earlier date. ","The system is not available commercially yet, but Motorola, the US mobile handset and infrastructure maker, held a clinic for mobile operators on HSDPA (High Speed Downlink Packet Access), a high-speed, high bandwidth technology available now. ""High-Speed Downlink Packet Access (HSDPA) - sometimes called Super 3G - will be vital for profitable services like mobile internet browsing and mobile video clips,"" according to a report published by UK-based research consultancy Analysys. Nokia and Canada-based wireless communication products company Sierra Wireless recently agreed to work together on High Speed Downlink Packet Access. ""The typical average user rate in a real implementation is likely to be in the region of one megabit per second which, even at this lower rate, will more than double the capacity... when compared to basic WCDMA [3G],"" he added. Motorola has conducted five trials of its technology and says speeds of 2.9Mbps have been recorded at the edge of an outdoor 3G cell using a single HSDPA device. But some mobile operators are opting for a technology called Evolution, Data Optimised (EV-DO). Using technology from Lucent, it will offer data speeds of 3.6Mbps from next summer on its Isle of Man 3G network, and will eventually support speeds of up to 14.4Mbps. Siemens' plans for a one gigabit network may be more than a user needs today, but Christoph Caselitz, president of the mobile networks division at the firm says that: ""By the time the next generation of mobile communication debuts in 2015, the need for transmission capacities for voice, data, image and multimedia is conservatively anticipated to rise by a factor of 10."" This enables a data transmission, such as sending a big file or video, to be broken up into different flows of data that can be sent simultaneously over one radio frequency band. The speeds offered by 3G mobile seemed fast at the time mobile operators were paying huge sums for 3G licences. "
107," US behemoth General Electric has posted an 18% jump in quarterly sales, and in profits, and declared itself ""in great shape"".  ""We are benefiting from our growth initiatives and an excellent global economy,"" said GE's chief executive Jeff Immelt. GE is the US' biggest firm based on stock market valuation. GE's net profits were $5.37bn (2.86bn) for the final three months of 2004, while sales came in at $43.7bn. The group, whose businesses range from jet engines to the NBC television channel, forecast sustained growth at between 10-15% for this year and next. GE's shares rose 1% on the news before ending Friday 0.24% lower.  ""The industries GE is in are doing very well. The materials, financial and industrial sectors are all picking up,"" said Steve Roukis, an analyst at fund manager Matrix Asset Advisors, which has shares in GE. GE said orders in the fourth quarter were 15% higher than in the same period of 2003, ""with growth across the board"". ""In the fourth quarter, nine of our 11 businesses delivered at least double-digit earnings growth,"" said Mr Immelt. Full year 2004 gains were less spectacular, but still respectable. Net profit was up 6% at $16.6bn. Last year, GE bought Vivendi Universal, merging it with NBC to form NBC Universal. The success of Universal Studio's film 'Ray', a portrait of jazz musician Ray Charles, has helped boost earnings at the unit. "," US behemoth General Electric has posted an 18% jump in quarterly sales, and in profits, and declared itself ""in great shape"". GE said orders in the fourth quarter were 15% higher than in the same period of 2003, ""with growth across the board"". ""In the fourth quarter, nine of our 11 businesses delivered at least double-digit earnings growth,"" said Mr Immelt. The success of Universal Studio's film 'Ray', a portrait of jazz musician Ray Charles, has helped boost earnings at the unit. "
108," The 2005 Consumer Electronics Show in Las Vegas is a geek's paradise with more than 50,000 new gadgets and technologies launched during the four-day event.  Top gadgets at the show are highlighted in the Innovations Showcase, which recognises some of the hottest developments in consumer electronics. The BBC News website took an early pre-show look at some of those technologies that will be making their debut in 2005.      One of the key issues for keen gadget users is how to store all their digital images, audio and video files. The 2.5GB and 5GB circular pocket hard drive from Seagate might help. The external USB drive won a CES best innovations design and engineering award and is small enough to slip into a pocket. ""It is the kind of storage that appeals to people who want their PCs to look cool,"" said Seagate. ""It is all about style but it also has lots of functionality."" ""It is the first time you can say a hard drive is sexy,"" it said. In the centre of the device is a blue light that flashes while data is being written to ensure users do not unplug it when it is busy saving those precious pictures.      Universal Electronics' NevoSL is a universal controller that lets people use one device to get at their multimedia content, such as photos, no matter where it is in their house. It can also act as a remote for home theatre and stereo systems. Working with home broadband networks and PCs, the gadget has built-in wireless and a colourful, simple interface. Paul Arling, UEI chief, said consumers face real problems when trying to get at all the files they own that are typically spread across several different devices. He said the Nevo gave people a simple, single way to regain some control over digital media in the home. The Nevo won two awards at CES, one as a Girl's Best Friend award and another for innovation, design and engineering. The gadget is expected to go on sale before the summer and will cost about $799 (425).      Hotseat is targeting keen gamers with money to spend with its Solo Chassis gaming chair. The specially-designed chair lets gamers play in surround-sound while stretching out in their own ""space"". It is compatible with all the major games consoles, DVD players and PCs. ""We found that kids love playing in surround sound,"" said Jay LeBoff from Hotseat. ""We are looking at offering different types of seats, depending on the market success of this one."" The chair also lets people experience surround sound while watching videos, with wireless control for six surround sound speakers. And a drinks holder. The chair, which looks like a car seat on a skeletal frame, should go on sale in April and is expected to cost $399 (211).      Satellite radio is big business in the US. In the UK, the digital radio technology is known as DAB and works on slightly different technology. Eton Corporation's Porsche designed P7131 digital radio set will be launched both as a DAB radio in the UK as well as a satellite radio set in the US. DAB sets have been slow to take-off in the UK, but this one concentrates on sleek looks as much as technology. ""It is for the risqu&#233; consumer,"" said an Eton spokesperson. ""We are proud of it because it has the sound quality for the audiophile and the looks for the design-conscious consumer."" The Porsche radio is set to go on sale at the end of January in the US and in the first quarter of 2005 in the UK. In the US is it expected to cost $250 (133).      The average person has a library of 600 digital images estimates the Consumer Electronics Association, the organisation behind CES. This is expected to grow to a massive 3,420 images - or 7.2GB - in five years' time. One gadget that might help swell that collection is Sanyo's tiny handheld VPC-C4 camcorder which is another innovation in design and engineering award winner. It combines high quality video and stills in a very small device. It takes MPEG4 video quality at 30 frames a second and has a four megapixel still camera. Images and video are stored on SD cards, which have come down in price in recent months. A 512MB card will store about 30 minutes of video and 420 stills. The device is so tiny it can be controlled with one thumb. Because images and video are stored on SD memory, it is portable to other devices and means other data like audio can be stored on the card too.      Wearable technology has always promised much but failed to deliver because of lack of storage capability and poor design. MPIO's tiny digital USB music players come in an array of fashionable colours, taking a leaf out of the Apple iPod mini book of design and reflecting the desire for gadgets that look good. Slung on a cord, the player would not look too geeky dangling discreetly from the neck. Although the pendant design was launched three months ago, the device emphasises large storage as well as good looks for fashion-conscious gadget fiends. An even dinkier model, the FY500, comes out in May and will store about 256MB of music. The range of players recently won an International Forum design award 2005. ","One of the key issues for keen gadget users is how to store all their digital images, audio and video files. In the centre of the device is a blue light that flashes while data is being written to ensure users do not unplug it when it is busy saving those precious pictures. Working with home broadband networks and PCs, the gadget has built-in wireless and a colourful, simple interface. Paul Arling, UEI chief, said consumers face real problems when trying to get at all the files they own that are typically spread across several different devices. He said the Nevo gave people a simple, single way to regain some control over digital media in the home. It is compatible with all the major games consoles, DVD players and PCs. ""We are looking at offering different types of seats, depending on the market success of this one."" Satellite radio is big business in the US. In the UK, the digital radio technology is known as DAB and works on slightly different technology. Eton Corporation's Porsche designed P7131 digital radio set will be launched both as a DAB radio in the UK as well as a satellite radio set in the US. ""We are proud of it because it has the sound quality for the audiophile and the looks for the design-conscious consumer."" One gadget that might help swell that collection is Sanyo's tiny handheld VPC-C4 camcorder which is another innovation in design and engineering award winner. It combines high quality video and stills in a very small device. A 512MB card will store about 30 minutes of video and 420 stills. MPIO's tiny digital USB music players come in an array of fashionable colours, taking a leaf out of the Apple iPod mini book of design and reflecting the desire for gadgets that look good. Although the pendant design was launched three months ago, the device emphasises large storage as well as good looks for fashion-conscious gadget fiends. "
109," Second seed Andre Agassi suffered a comprehensive defeat by Jurgen Melzer in the quarter-finals of the SAP Open.  Agassi was often bamboozled by the Austrian's drop shots in San Jose, losing 6-3 6-1. Defending champion and top seed Andy Roddick rallied to beat Sweden's Thomas Enqvist 3-6 7-6 (8-6) 7-5. But unseeded Cyril Saulnier beat the fourth seed Vincent Spadea 6-2 6-4 and Tommy Haas overcame eighth seed Max Mirnyi 6-7 (2-7) 7-6 (7-3) 6-2. Melzer has now beaten Agassi in two of their three meetings.  ""I had a good game plan and I executed it perfectly,"" he said. ""It's always tough to come out to play Andre. ""I didn't want him to play his game. He makes you run like a dog all over the court."" And Agassi, who was more than matched for power by his opponent's two-handed backhand, said Melzer was an example of several players on the tour willing to take their chances against him. ""A lot more guys are capable of it now,"" said the American. ""He played much better than me. That's what he did both times. ""I had opportunities to loosen myself up,"" Agassi added. ""But I didn't convert on the big points."" "," Second seed Andre Agassi suffered a comprehensive defeat by Jurgen Melzer in the quarter-finals of the SAP Open. Agassi was often bamboozled by the Austrian's drop shots in San Jose, losing 6-3 6-1. ""I had a good game plan and I executed it perfectly,"" he said. And Agassi, who was more than matched for power by his opponent's two-handed backhand, said Melzer was an example of several players on the tour willing to take their chances against him. ""But I didn't convert on the big points."" "
110," Pop star Christina Aguilera is to marry music executive Jordan Bratman, the singer's agent has confirmed.  Bratman, 26, proposed to Grammy-winning singer Aguilera, 23, on holiday at an undisclosed location. The pair have been together for more than two years. ""No wedding plans have been set yet,"" said Aguilera's agent Meghan Prophet. Aguilera burst onto the pop scene in 1999, winning a best new artist Grammy in 2000. Her hits include What a Girl Wants, Dirrty and Beautiful. Bratman presented his fiancee with a diamond ring designed by jeweller Stephen Webster on Friday, said Ms Prophet. New York-born Aguilera reached number one in the UK with her debut hit Genie in a Bottle in October 1999. Her early success was cemented by two further Grammys in subsequent years. In 2002, Aguilera won best pop collaboration for the hit track Lady Marmalade with Lil' Kim, Maya and Pink, and last year she picked up the award for best female pop vocal performance for Beautiful. Her most recent single, Car Wash, featuring Missy Elliott, reached number four in the UK charts last November. ","Aguilera burst onto the pop scene in 1999, winning a best new artist Grammy in 2000. New York-born Aguilera reached number one in the UK with her debut hit Genie in a Bottle in October 1999. Her most recent single, Car Wash, featuring Missy Elliott, reached number four in the UK charts last November. "
111," India will allow domestic commercial airlines to fly long haul international routes, a move it hopes will stoke competition and drive down prices.  However, only state controlled carriers will be able to fly the lucrative Gulf routes, to countries such as Kuwait and Saudi Arabia, for at least three years. Jet Airways and Air Sahara are the two companies that will benefit initially. India is looking to develop its airline industry as booming economic growth drives demand for travel.  Monica Chadha, BBC Delhi reporter, said air travel in India had increased by almost 20% from the previous year and was expected to rise even further. Infrastructure development is lagging demand, however, and will have to improve. ""Most international airports in the country are shabby and ill-equipped to handle heavy air traffic,"" Ms Chada said, adding that while the Civil Aviation minister has promised to modernise and privatise airports little progress has been made. Steps have been take to move things forward and the government recently changed legislation that limited foreign investment in domestic airlines. It raised the maximum stake holding allowed to 49% from 40%. Local press, meanwhile, have reported that the US and India will start negotiations about adding more routes in January. Jet Airways is India's premier private domestic carrier; Air Sahara is ranked third in the category. ","India is looking to develop its airline industry as booming economic growth drives demand for travel. Infrastructure development is lagging demand, however, and will have to improve. Local press, meanwhile, have reported that the US and India will start negotiations about adding more routes in January. "
112," Labour MP Stephen Pound has told of his shock and his joy on learning he fathered a daughter when he was ""out of control"" during the ""wild"" 1960s.  Lucy, 36, tracked down Mr Pound after her birth mother told her he was known as ""Precious"" at school. Despite being told he was a ""nutter who died at sea"" she found a reference to Mr Pound on Friends Reunited. Lucy's mother kept her pregnancy secret and had her adopted at four weeks. Mr Pound found out about it last year. That happened when Lucy wrote to his Parliamentary office saying she believed he was her father.  Mr Pound, who is now married with two other teenage children, said: ""I was a nutter and I was a sailor but I wasn't dead."" He said his first reaction was to wonder if he was victim of a ""set-up"" but he then realised all the dates fitted. ""It was a pretty horrible thing with a pretty happy ending. I felt guilt in the marrow of my bones,"" said the Ealing North MP. ""I don't blame Lucy's mother. I was pretty much out of control. I was 18 when she was conceived. It was a different time - it was pretty wild.""  Mr Pound says he rang Lucy as soon as he got her letter, they met up and have been in contact ever since. Describing that first meeting at London's King Cross station, he said: ""The earth went from under my feet ... We were walking across the Euston Road and I took her arm to take her across and there was an immediate connection. ""We were finishing each other sentences."" Lucy, who was adopted by a family from Essex, wants to remain anonymous for the sake of her adoptive father and her children. Mr Pound said his wife Maggie had been fully supportive and their two children Emily, 16, and Pelham, 14 were pleased to have an older sister. ","That happened when Lucy wrote to his Parliamentary office saying she believed he was her father. Mr Pound, who is now married with two other teenage children, said: ""I was a nutter and I was a sailor but I wasn't dead."" ""I don't blame Lucy's mother. Mr Pound says he rang Lucy as soon as he got her letter, they met up and have been in contact ever since. Describing that first meeting at London's King Cross station, he said: ""The earth went from under my feet ... We were walking across the Euston Road and I took her arm to take her across and there was an immediate connection. Mr Pound said his wife Maggie had been fully supportive and their two children Emily, 16, and Pelham, 14 were pleased to have an older sister. "
113," Southampton's David Prutton faces a possible seven-match ban when he goes before the Football Association.  The 23-year-old has admitted two charges of improper conduct following his dismissal against Arsenal. The first charge relates to his failure to leave the field promptly, pushing referee Alan Wiley and remonstrating with assistant referee Paul Norman. And the second charge is for using threatening words and/or behaviour to a match official during the 1-1 draw.  Paolo di Canio was given a seven-match suspension when he pushed referee Paul Alcock over in a Premiership game between Sheffield Wednesday and Arsenal in 1998. Prutton will be joined at Wednesday's hearing by Saints boss Harry Redknapp, who believes that the FA will throw the book at his player. Redknapp himself sprinted along the touchline to help physio Jim Joyce and coach Denis Rofe shepherd the enraged Prutton away from referee's assistant Norman. ""David has made a big mistake and he knows it. I can't condone what he's done. He was out of order but he knows that,"" said Redknapp. ""He's a decent lad. He over-reacted badly for some reason - he had a rush of blood from somewhere. Off the pitch you couldn't meet a nicer lad."" Prutton has apologised publicly for his actions and to Arsenal's Robert Pires, who was injured in a wild tackle by the Saints' midfield man.  He said: ""It's an horrendous situation. I apologise to the ref and linesman, who were only doing their job. ""I've also seen what happened to Pires' leg and I'm sorry for that as well."" ""I apologise for the people who saw it. I know you get lots of kids going to the match now and they don't pay money to see that sort of thing. ""It's not a cop-out, but it was all a bit of a blur. Sometimes you react and it's beyond your control, "" added Prutton. ","Paolo di Canio was given a seven-match suspension when he pushed referee Paul Alcock over in a Premiership game between Sheffield Wednesday and Arsenal in 1998. Redknapp himself sprinted along the touchline to help physio Jim Joyce and coach Denis Rofe shepherd the enraged Prutton away from referee's assistant Norman. ""David has made a big mistake and he knows it. He over-reacted badly for some reason - he had a rush of blood from somewhere. Prutton has apologised publicly for his actions and to Arsenal's Robert Pires, who was injured in a wild tackle by the Saints' midfield man. I apologise to the ref and linesman, who were only doing their job. Sometimes you react and it's beyond your control, "" added Prutton. "
114," The web is helping aid agencies gather resources to help cope with the aftermath of the tsunami disaster.  Many people are making donations via websites or going online to see how they can get involved with aid efforts. High-profile web portals such as Google, Yahoo, Ebay and Amazon are gathering links that lead people to aid and relief organisations. So many were visiting some aid-related sites that some webpages were struggling to cope with the traffic. An umbrella organisation called the Disasters Emergency Committee (DEC) has been set up by a coalition of 12 charities and has been taking many donations via its specially created website. It urged people to go online where possible to help because donations could be processed more quickly than cash donated in other ways, meaning aid could be delivered as quickly as possible. The site has so far received almost 8 million, with more than 11,000 donations being made online every hour.  Telco BT stepped in to take over the secure payments on the DEC site and provided extra logistical support for phone and online appeals after it was initially crippled with online donations. It has also provided space in London's BT tower for one of the call centres dealing with donations.  Some of the web's biggest firms are also helping to channel help by modifying their homepages to include links to aid agencies and organisations collecting resources. On its famously sparse homepage Google has placed a link that leads users to a list of sites where donations can be made. Among the 17 organisations listed are Oxfam, Medecins sans Frontieres (Doctors Without Borders) and Network for Good. Many of the sites that Google lists are also taking online donations. Online retailer Amazon has put a large message on its start page that lets people donate money directly to the American Red Cross that will be used with relief efforts. Auction site eBay is giving a list of sites that people can either donate directly to, divert a portion of their profits from anything they sell on eBay to the listed organisations or simply buy items that direct cash to those in the list. Yahoo is proving links direct to charities for those that want to donate. The Auction Drop website is asking people to donate old digital cameras, computers and other gadgets they no longer want that can be auction to raise cash for the aid effort. Sadly, the outpouring of goodwill has also encouraged some conmen to try to cash in. Anti-fraud organisations are warning about e-mails that are starting to circulate which try to convince people to send money directly to them rather than make donations via aid agencies. Those wanting to give cash were urged to use legitimate websites of charities and aid agencies. "," The web is helping aid agencies gather resources to help cope with the aftermath of the tsunami disaster. Telco BT stepped in to take over the secure payments on the DEC site and provided extra logistical support for phone and online appeals after it was initially crippled with online donations. Many of the sites that Google lists are also taking online donations. Online retailer Amazon has put a large message on its start page that lets people donate money directly to the American Red Cross that will be used with relief efforts. Auction site eBay is giving a list of sites that people can either donate directly to, divert a portion of their profits from anything they sell on eBay to the listed organisations or simply buy items that direct cash to those in the list. The Auction Drop website is asking people to donate old digital cameras, computers and other gadgets they no longer want that can be auction to raise cash for the aid effort. "
115," BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.  Homegrown reality programmes dominated that category, including Channel 4's Supernanny and ITV1's Hell's Kitchen. EastEnders and Coronation Street were overlooked in the soap category, but Doctors and Family Affairs gained nods. The festival, which honours the best TV from around the globe, will take place in Lucerne, Switzerland from 3-8 May.  Little Britain, which is now in its second series, faces competition from BBC Two's The Catherine Tate Show and Sacha Baron Cohen's creations Borat and Bruno. In the separate sitcom category, dark comedy Nighty Night - which began life on BBC Three - will do battle with mainstream BBC One show My Family.  BBC One's Strictly Come Dancing, which saw celebrities compete against each other to become champions of the dancefloor, is among five British nominations in the varirty category. Lenny Henry, who won a Golden Rose for his In Pieces series in 2001, picks up another nomination for his recent BBC show. British television music shows have picked up six nominations, with BBC Three's Flashmob - The Opera up against the UK Music Hall of Fame series, which was screened on Channel 4. British television has performed very well in the arts and specials category, gaining a total of 11 nominations. The BBC leads the way with its programmes on The Sound of Music, Agatha Christie and Rolf On Art - The Big Event - which saw Harris lead an effort to produce a life-size painting in London's Trafalgar Square.  British shows - which picked up a total of 48 nominations - will have to overcome competition from a host of other countries, including the US, Canada, Japan and across Europe. UK nominee TV Diaries, which is shown around the world, is owned by a British company but has yet to be screened in this country. Previous UK winners have included Ant & Dec's Saturday Night Takeaway, Pop Idol, Channel 4 show Faking It and comedy duo French and Saunders, who became the first winners to receive and honorary Golden Rose. Individual performers will also be rewarded, with prizes for best comics, best sitcom actor and actress and best gameshow host. Last year actor Shane Richie won an award for his portrayal of Alfie Moon in EastEnders. "," BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards. In the separate sitcom category, dark comedy Nighty Night - which began life on BBC Three - will do battle with mainstream BBC One show My Family. BBC One's Strictly Come Dancing, which saw celebrities compete against each other to become champions of the dancefloor, is among five British nominations in the varirty category. Lenny Henry, who won a Golden Rose for his In Pieces series in 2001, picks up another nomination for his recent BBC show. British shows - which picked up a total of 48 nominations - will have to overcome competition from a host of other countries, including the US, Canada, Japan and across Europe. "
116," Thousands of civil service jobs have already been cut or moved out of London as part of a major cost-cutting drive.  Chancellor Gordon Brown said 12,500 jobs had gone while 7,800 were being moved out of the South East. He plans to axe 104,000 jobs to free up money for education, health, defence, housing and overseas aid. Unions oppose the plans but Mr Brown said 2bn savings had already been made and more jobs had been cut than had been expected at this stage. A further 200 jobs at the Department of the Environment, Food and Rural Affairs have been earmarked to be cut. At the Department for Work and Pensions, 30,000 jobs are to go, 560 will be lost by the end of the month at the Department of Trade and Industry and 400 are to go at the Inland Revenue and Customs.  In his Budget statement, the chancellor said the first 12,500 civil service jobs had been cut, on target. About 4,300 civil servants will leave London and the South East by the end of March 2005 and there are plans to relocate another 3,500. Of those 300 Department of Health posts will go to Yorkshire while hundreds at the Department of Culture will move to Birmingham and Newcastle.  Mr Brown also announced plans to merge 35 agencies into nine - described by one civil service union as a ""bonfire of the quangos"". Mark Serwotka, the leader of the Public and Commercial Services Union said: ""In last year's budget we had the day of the long knifes as the chancellor kicked off the crude game of who could cut the most civil service jobs between the government and the Tories. ""There was a time when the only worry thousands of hard working civil and public servants had on budget day was whether petrol or taxes would go up, nowadays the worry is whether they will have a job by the end of it."" He said Mr Brown had made welcome announcements on closing tax loopholes and extending the New Deal, while cutting ""the very people who deliver them."" The Treasury also announced plans to reduce the number of public sector workers on sick leave with a new system of checks and tougher measures against those suspected of abusing the system. "," Thousands of civil service jobs have already been cut or moved out of London as part of a major cost-cutting drive. A further 200 jobs at the Department of the Environment, Food and Rural Affairs have been earmarked to be cut. Mr Brown also announced plans to merge 35 agencies into nine - described by one civil service union as a ""bonfire of the quangos"". Mark Serwotka, the leader of the Public and Commercial Services Union said: ""In last year's budget we had the day of the long knifes as the chancellor kicked off the crude game of who could cut the most civil service jobs between the government and the Tories. "
